thickness,k,n_trees,min_node_size,max_depth,beta,fold,auc,auc_avg,auc_std
50,5,1000,0.5%,2,0.8,4,0.9711963534355164,0.9731119275093079,0.0018004650482907891
50,5,1000,0.5%,2,0.9,0,0.9742006659507751,0.9733123779296875,0.0013542810920625925
50,5,1000,0.5%,2,0.9,1,0.9715830087661743,0.9733123779296875,0.0013542810920625925
50,5,1000,0.5%,2,0.9,2,0.9734730124473572,0.9733123779296875,0.0013542810920625925
50,5,1000,0.5%,2,0.9,3,0.974936842918396,0.9733123779296875,0.0013542810920625925
50,5,1000,0.5%,2,0.9,4,0.9723680019378662,0.9733123779296875,0.0013542810920625925
50,5,1200,0.5%,2,0.1,0,0.9560682773590088,0.9533629417419434,0.002742951735854149
50,5,1200,0.5%,2,0.1,1,0.9501984119415283,0.9533629417419434,0.002742951735854149
50,5,1200,0.5%,2,0.1,2,0.953371524810791,0.9533629417419434,0.002742951735854149
50,5,1200,0.5%,2,0.1,3,0.9561041593551636,0.9533629417419434,0.002742951735854149
50,5,1200,0.5%,2,0.1,4,0.9510721564292908,0.9533629417419434,0.002742951735854149
50,5,1200,0.5%,2,0.2,0,0.9618517160415649,0.9625228047370911,0.0016008637612685561
50,5,1200,0.5%,2,0.2,1,0.9617919921875,0.9625228047370911,0.0016008637612685561
50,5,1200,0.5%,2,0.2,2,0.9638574123382568,0.9625228047370911,0.0016008637612685561
50,5,1200,0.5%,2,0.2,3,0.9644906520843506,0.9625228047370911,0.0016008637612685561
50,5,1200,0.5%,2,0.2,4,0.9606220126152039,0.9625228047370911,0.0016008637612685561
50,5,1200,0.5%,2,0.3,0,0.9684838652610779,0.9666138887405396,0.0020964464638382196
50,5,1200,0.5%,2,0.3,1,0.9680892825126648,0.9666138887405396,0.0020964464638382196
50,5,1200,0.5%,2,0.3,2,0.9651488065719604,0.9666138887405396,0.0020964464638382196
50,5,1200,0.5%,2,0.3,3,0.9676729440689087,0.9666138887405396,0.0020964464638382196
50,5,1200,0.5%,2,0.3,4,0.9636747241020203,0.9666138887405396,0.0020964464638382196
50,5,1200,0.5%,2,0.4,0,0.9715409278869629,0.9689121246337891,0.0036373522598296404
50,5,1200,0.5%,2,0.4,1,0.9673581123352051,0.9689121246337891,0.0036373522598296404
50,5,1200,0.5%,2,0.4,2,0.9702455997467041,0.9689121246337891,0.0036373522598296404
50,5,1200,0.5%,2,0.4,3,0.9721192121505737,0.9689121246337891,0.0036373522598296404
50,5,1200,0.5%,2,0.4,4,0.9632967710494995,0.9689121246337891,0.0036373522598296404
50,5,1200,0.5%,2,0.5,0,0.9723790884017944,0.9716671109199524,0.0029309343080967665
50,5,1200,0.5%,2,0.5,1,0.9698759913444519,0.9716671109199524,0.0029309343080967665
50,5,1200,0.5%,2,0.5,2,0.9729999303817749,0.9716671109199524,0.0029309343080967665
50,5,1200,0.5%,2,0.5,3,0.9753376245498657,0.9716671109199524,0.0029309343080967665
50,5,1200,0.5%,2,0.5,4,0.9677431583404541,0.9716671109199524,0.0029309343080967665
50,5,1200,0.5%,2,0.6,0,0.9737200736999512,0.9721049070358276,0.002166402293369174
50,5,1200,0.5%,2,0.6,1,0.97066730260849,0.9721049070358276,0.002166402293369174
50,5,1200,0.5%,2,0.6,2,0.97161865234375,0.9721049070358276,0.002166402293369174
50,5,1200,0.5%,2,0.6,3,0.9748872518539429,0.9721049070358276,0.002166402293369174
50,5,1200,0.5%,2,0.6,4,0.9696310758590698,0.9721049070358276,0.002166402293369174
50,5,1200,0.5%,2,0.7,0,0.9738627672195435,0.972431480884552,0.0020357316825538874
50,5,1200,0.5%,2,0.7,1,0.9704980254173279,0.972431480884552,0.0020357316825538874
50,5,1200,0.5%,2,0.7,2,0.9718295931816101,0.972431480884552,0.0020357316825538874
50,5,1200,0.5%,2,0.7,3,0.9751991629600525,0.972431480884552,0.0020357316825538874
50,5,1200,0.5%,2,0.7,4,0.9707678556442261,0.972431480884552,0.0020357316825538874
50,5,1200,0.5%,2,0.8,0,0.9732369184494019,0.9730621576309204,0.0020279190503060818
50,5,1200,0.5%,2,0.8,1,0.9714421033859253,0.9730621576309204,0.0020279190503060818
50,5,1200,0.5%,2,0.8,2,0.9751583337783813,0.9730621576309204,0.0020279190503060818
50,5,1200,0.5%,2,0.8,3,0.9748799800872803,0.9730621576309204,0.0020279190503060818
50,5,1200,0.5%,2,0.8,4,0.9705930948257446,0.9730621576309204,0.0020279190503060818
50,5,1200,0.5%,2,0.9,0,0.9746736288070679,0.9733403325080872,0.0013742187293246388
50,5,1200,0.5%,2,0.9,1,0.9715244770050049,0.9733403325080872,0.0013742187293246388
50,5,1200,0.5%,2,0.9,2,0.9732316732406616,0.9733403325080872,0.0013742187293246388
50,5,1200,0.5%,2,0.9,3,0.9747065305709839,0.9733403325080872,0.0013742187293246388
50,5,1200,0.5%,2,0.9,4,0.9725653529167175,0.9733403325080872,0.0013742187293246388
50,5,1400,0.5%,2,0.1,0,0.957744300365448,0.954262375831604,0.0031998460181057453
50,5,1400,0.5%,2,0.1,1,0.9504824876785278,0.954262375831604,0.0031998460181057453
50,5,1400,0.5%,2,0.1,2,0.9550482630729675,0.954262375831604,0.0031998460181057453
50,5,1400,0.5%,2,0.1,3,0.9566459655761719,0.954262375831604,0.0031998460181057453
50,5,1400,0.5%,2,0.1,4,0.9513908624649048,0.954262375831604,0.0031998460181057453
50,5,1400,0.5%,2,0.2,0,0.9635117053985596,0.9636673927307129,0.0020501157268881798
50,5,1400,0.5%,2,0.2,1,0.9631104469299316,0.9636673927307129,0.0020501157268881798
50,5,1400,0.5%,2,0.2,2,0.9655183553695679,0.9636673927307129,0.0020501157268881798
50,5,1400,0.5%,2,0.2,3,0.9655884504318237,0.9636673927307129,0.0020501157268881798
50,5,1400,0.5%,2,0.2,4,0.9606078267097473,0.9636673927307129,0.0020501157268881798
50,5,1400,0.5%,2,0.3,0,0.97078537940979,0.968747615814209,0.0032931643072515726
50,5,1400,0.5%,2,0.3,1,0.9681808948516846,0.968747615814209,0.0032931643072515726
50,5,1400,0.5%,2,0.3,2,0.9687038660049438,0.968747615814209,0.0032931643072515726
50,5,1400,0.5%,2,0.3,3,0.9723863005638123,0.968747615814209,0.0032931643072515726
50,5,1400,0.5%,2,0.3,4,0.9636816382408142,0.968747615814209,0.0032931643072515726
50,5,1400,0.5%,2,0.4,0,0.9714182019233704,0.9706258773803711,0.002117238473147154
50,5,1400,0.5%,2,0.4,1,0.9687314629554749,0.9706258773803711,0.002117238473147154
50,5,1400,0.5%,2,0.4,2,0.9727839827537537,0.9706258773803711,0.002117238473147154
50,5,1400,0.5%,2,0.4,3,0.9721593260765076,0.9706258773803711,0.002117238473147154
50,5,1400,0.5%,2,0.4,4,0.968036413192749,0.9706258773803711,0.002117238473147154
50,5,1400,0.5%,2,0.5,0,0.9728531241416931,0.972156822681427,0.0027002906426787376
50,5,1400,0.5%,2,0.5,1,0.9702853560447693,0.972156822681427,0.0027002906426787376
50,5,1400,0.5%,2,0.5,2,0.9732176661491394,0.972156822681427,0.0027002906426787376
